EPISODE_ID,EVENT_ID,EVENT_TYPE,EPISODE_NARRATIVE,EVENT_NARRATIVE,YEAR,text,group_id,labels
139171,837039,Tornado,Supercell thunderstorms developed and moved slowly southeast across the area.  Wabaunsee County was hit hardest by the storms where at least 4 tornadoes appeared to have occurred.,Storm Chasers reported brief touchdown in open field.  This tornado then moved into Wabaunsee County through open pasture.,2019,Episode context: Supercell thunderstorms developed and moved slowly southeast across the area. Wabaunsee County was hit hardest by the storms where at least 4 tornadoes appeared to have occurred. Event report: Storm Chasers reported brief touchdown in open field. This tornado then moved into Wabaunsee County through open pasture.,episode_139171,5
136878,821282,Flash Flood,"Showers and thunderstorms on the afternoon of June 18 brought a brief period of heavy rain to areas from the Lehigh Valley and upper Bucks County in Pennsylvania, to parts of northern and central New Jersey.  Rainfall totals ranged from 1 to 2 inches with locally higher amounts.",Roads closed and vehicles stranded in Red Bank due to flash flooding.,2019,"Episode context: Showers and thunderstorms on the afternoon of June 18 brought a brief period of heavy rain to areas from the Lehigh Valley and upper Bucks County in Pennsylvania, to parts of northern and central New Jersey. Rainfall totals ranged from 1 to 2 inches with locally higher amounts. Event report: Roads closed and vehicles stranded in Red Bank due to flash flooding.",episode_136878,1
192697,1189304,Thunderstorm Wind,"A stalled frontal boundary helped to produce scattered thunderstorms that became severe. Winds from these storms blew down a notable number of trees. One of the storms also produced an EF-1 tornado in Halifax County with peak winds at 100 mph, which downed numerous trees and caused structural damage.",Thunderstorm winds blew down a large tree that uprooted and fell on to a house along Chatham Road.  The fallen tree caused notable damage to the roof and windows of the house.,2024,"Episode context: A stalled frontal boundary helped to produce scattered thunderstorms that became severe. Winds from these storms blew down a notable number of trees. One of the storms also produced an EF-1 tornado in Halifax County with peak winds at 100 mph, which downed numerous trees and caused structural damage. Event report: Thunderstorm winds blew down a large tree that uprooted and fell on to a house along Chatham Road. The fallen tree caused notable damage to the roof and windows of the house.",episode_192697,4
161333,974328,Flash Flood,"An active monsoon surge brought several back-to-back days of thunderstorms producing heavy rain, damaging wind gusts, and hail across the state.","Zion National Park officials reported flash flooding in portions of the park, including the  Narrows, Kolob Canyons, and Telephone Canyon.",2021,"Episode context: An active monsoon surge brought several back-to-back days of thunderstorms producing heavy rain, damaging wind gusts, and hail across the state. Event report: Zion National Park officials reported flash flooding in portions of the park, including the Narrows, Kolob Canyons, and Telephone Canyon.",episode_161333,1
129100,776860,Hail,"Thunderstorms generated as a shortwave trough sagged into our region. Despite little wind shear, damaging winds could be generated with mixing of dry air. Static air flow continues to create flooding potential as tropical moisture lingered.",,2018,"Episode context: Thunderstorms generated as a shortwave trough sagged into our region. Despite little wind shear, damaging winds could be generated with mixing of dry air. Static air flow continues to create flooding potential as tropical moisture lingered. Event report:",episode_129100,3
139292,837754,Thunderstorm Wind,An upper level disturbance supported a few afternoon and evening severe thunderstorms across north Georgia.  Large hail and damaging winds were the primary threats.,Public reported multiple pecan trees down just south of Hwy 96 between Fort Valley and Perry. Time estimated from radar.,2019,Episode context: An upper level disturbance supported a few afternoon and evening severe thunderstorms across north Georgia. Large hail and damaging winds were the primary threats. Event report: Public reported multiple pecan trees down just south of Hwy 96 between Fort Valley and Perry. Time estimated from radar.,episode_139292,4
191898,1182247,Wildfire,"Dry conditions across South Florida allowed a wildfire to burn in Hendry County for a few days. The fire was ignited by lightning associated with a strong thunderstorm, and quickly spread and lingered due to lack of rain. Smoke produced very low to no visibility in the area periodically over the course of the fire's lifespan.","The Tampa Ave wildfire was reported in the Pioneer Plantation area on May 13th after a thunderstorm moved through the area. Wildfire and smoke activity prompted road closures, evacuation orders, and a shutdown of the local power grid. Residents near Tampa Avenue and 21st Street were evacuated. There were no reported damages to personal properties, injuries, or fatalities. The total acreage of the fire was 20 acres, and lightning was listed as the cause. The official date of full containment was May 14th.",2024,"Episode context: Dry conditions across South Florida allowed a wildfire to burn in Hendry County for a few days. The fire was ignited by lightning associated with a strong thunderstorm, and quickly spread and lingered due to lack of rain. Smoke produced very low to no visibility in the area periodically over the course of the fire's lifespan. Event report: The Tampa Ave wildfire was reported in the Pioneer Plantation area on May 13th after a thunderstorm moved through the area. Wildfire and smoke activity prompted road closures, evacuation orders, and a shutdown of the local power grid. Residents near Tampa Avenue and 21st Street were evacuated. There were no reported damages to personal properties, injuries, or fatalities. The total acreage of the fire was 20 acres, and lightning was listed as the cause. The official date of full containment was May 14th.",episode_191898,6
185012,1136073,Hail,"During the late afternoon and evening hours of August 7th, a frontal boundary moved across Northwestern Kansas allowing for showers and thunderstorms to develop within the region. Some of these thunderstorms became severe and produced large hail up to softballs in size, a brief landspout, damaging wind gusts up to an estimated 70 mph, and heavy rainfall leading to flash flooding. Winds from the storms also caused a brief dust storm. Flooding in at least one location continued overnight until sunrise of August 8th.",Dime to half dollar sized hail reported at location.,2023,"Episode context: During the late afternoon and evening hours of August 7th, a frontal boundary moved across Northwestern Kansas allowing for showers and thunderstorms to develop within the region. Some of these thunderstorms became severe and produced large hail up to softballs in size, a brief landspout, damaging wind gusts up to an estimated 70 mph, and heavy rainfall leading to flash flooding. Winds from the storms also caused a brief dust storm. Flooding in at least one location continued overnight until sunrise of August 8th. Event report: Dime to half dollar sized hail reported at location.",episode_185012,3
188073,1155104,Drought,"February saw above normal precipitation on the whole, notably from a series of winter storms that passed over the state during the first half of the month. Late month weaker systems brought additional precipitation mainly to the northern mountains of New Mexico. Overall, the above normal precipitation yielded an overall improvement to drought conditions. Extreme drought was removed from the northwest corner of the state with severe drought being reduced in size as well.",Extreme drought was removed from the zone while severe drought persisted.,2024,"Episode context: February saw above normal precipitation on the whole, notably from a series of winter storms that passed over the state during the first half of the month. Late month weaker systems brought additional precipitation mainly to the northern mountains of New Mexico. Overall, the above normal precipitation yielded an overall improvement to drought conditions. Extreme drought was removed from the northwest corner of the state with severe drought being reduced in size as well. Event report: Extreme drought was removed from the zone while severe drought persisted.",episode_188073,0
127805,766353,Hail,A line of severe thunderstorms moved into northeast Louisiana during the morning hours of June 22nd. Some of these thunderstorms produced hail and damaging wind gusts.,Hail up to the size of quarters fell on the western side of Delhi.,2018,Episode context: A line of severe thunderstorms moved into northeast Louisiana during the morning hours of June 22nd. Some of these thunderstorms produced hail and damaging wind gusts. Event report: Hail up to the size of quarters fell on the western side of Delhi.,episode_127805,3
