,precision,recall,f1-score,support
Drought,1.0,0.9931818181818182,0.9965792474344356,440.0
Flash Flood,0.7732426303854876,0.8546365914786967,0.8119047619047619,399.0
Flood,0.8613861386138614,0.7891156462585034,0.8236686390532545,441.0
Hail,0.9396135265700483,0.9284009546539379,0.9339735894357744,419.0
Thunderstorm Wind,0.9219512195121952,0.9108433734939759,0.9163636363636364,415.0
Tornado,0.9141414141414141,0.9427083333333334,0.9282051282051282,384.0
Wildfire,0.9977728285077951,0.9803063457330415,0.9889624724061811,457.0
Winter Storm,0.9860279441117764,0.993963782696177,0.9899799599198397,497.0
accuracy,0.9261297798377752,0.9261297798377752,0.9261297798377752,0.9261297798377752
macro avg,0.9242669627303223,0.9241446057286855,0.9237046793403765,3452.0
weighted avg,0.9275119624173962,0.9261297798377752,0.9263369759440006,3452.0
